loja,sku,item,categoria,unidade_medida,estoque_atual,estoque_minimo,fornecedor,lead_time_dias,ultima_entrega,proxima_entrega_prevista
Loja 001,SKU-1001,Hamburguer bovino 180g cx 24un,Proteina,cx,13,30,Fornecedor 1 - Industria de Carnes,3,2026-08-01,2026-08-08
Loja 001,SKU-1002,File de frango congelado 2kg,Proteina,pct,129,52,Fornecedor 1 - Industria de Carnes,3,2026-07-25,2026-08-01
Loja 001,SKU-1003,Bacon fatiado 1kg,Proteina,pct,65,30,Fornecedor 1 - Industria de Carnes,4,2026-07-31,2026-08-07
Loja 001,SKU-1004,Linguica toscana 3kg,Proteina,pct,60,23,Fornecedor 1 - Industria de Carnes,4,2026-07-28,2026-08-04
Loja 001,SKU-2001,Pao de hamburguer pct 12un,Padaria,pct,74,26,Fornecedor 2 - Panificadora,1,2026-08-01,2026-08-03
Loja 001,SKU-2002,Pao brioche pct 12un,Padaria,pct,43,12,Fornecedor 2 - Panificadora,1,2026-07-30,2026-08-01
Loja 001,SKU-3001,Queijo cheddar fatiado 1kg,Laticinio,pct,21,27,Fornecedor 3 - Laticinios,2,2026-07-28,2026-08-04
Loja 001,SKU-3002,Queijo mussarela 5kg,Laticinio,pct,58,18,Fornecedor 3 - Laticinios,2,2026-07-28,2026-08-04
Loja 001,SKU-3003,"Requeijao cremoso 1,5kg",Laticinio,pt,32,8,Fornecedor 3 - Laticinios,2,2026-07-27,2026-08-03
Loja 001,SKU-3004,Manteiga 500g,Laticinio,un,46,13,Fornecedor 3 - Laticinios,2,2026-08-01,2026-08-08
Loja 001,SKU-4001,"Batata pre-frita congelada 2,5kg",Congelado,pct,60,113,Fornecedor 4 - Distribuidora,5,2026-07-22,2026-08-05
Loja 001,SKU-4002,Anel de cebola congelado 1kg,Congelado,pct,61,18,Fornecedor 4 - Distribuidora,5,2026-07-30,2026-08-13
Loja 001,SKU-4003,Nuggets congelado 2kg,Congelado,pct,75,27,Fornecedor 4 - Distribuidora,5,2026-07-28,2026-08-11
Loja 001,SKU-5001,Oleo de soja 900ml cx 20un,Mercearia,cx,31,16,Fornecedor 4 - Distribuidora,5,2026-07-31,2026-08-14
Loja 001,SKU-5002,"Ketchup galao 3,2kg",Mercearia,gl,29,12,Fornecedor 4 - Distribuidora,5,2026-07-26,2026-08-09
Loja 001,SKU-5003,Maionese galao 3kg,Mercearia,gl,43,16,Fornecedor 4 - Distribuidora,5,2026-08-01,2026-08-15
Loja 001,SKU-5004,Mostarda galao 3kg,Mercearia,gl,18,6,Fornecedor 4 - Distribuidora,5,2026-07-30,2026-08-13
Loja 001,SKU-5005,Sal refinado 1kg,Mercearia,un,16,8,Fornecedor 4 - Distribuidora,5,2026-08-01,2026-08-15
Loja 001,SKU-6001,Alface americana un,Hortifruti,un,93,31,Fornecedor 5 - Hortifruti,1,2026-08-01,2026-08-03
Loja 001,SKU-6002,Tomate salada kg,Hortifruti,kg,29.9,22.7,Fornecedor 5 - Hortifruti,1,2026-07-31,2026-08-02
Loja 001,SKU-6003,Cebola kg,Hortifruti,kg,50.1,12.9,Fornecedor 5 - Hortifruti,1,2026-07-30,2026-08-02
Loja 001,SKU-6004,Picles fatiado 2kg,Hortifruti,pt,29,9,Fornecedor 5 - Hortifruti,3,2026-07-27,2026-08-03
Loja 001,SKU-7001,Refrigerante lata cx 24un,Bebidas,cx,67,26,Fornecedor 6 - Bebidas,2,2026-07-30,2026-08-06
Loja 001,SKU-7002,Refrigerante 2L cx 6un,Bebidas,cx,35,10,Fornecedor 6 - Bebidas,2,2026-07-29,2026-08-05
Loja 001,SKU-7003,Suco caixinha cx 12un,Bebidas,cx,15,7,Fornecedor 6 - Bebidas,2,2026-07-27,2026-08-03
Loja 001,SKU-7004,Agua mineral 500ml cx 12un,Bebidas,cx,28,14,Fornecedor 6 - Bebidas,2,2026-07-25,2026-08-01
Loja 001,SKU-8001,Embalagem sanduiche pct 100un,Descartavel,pct,300,114,Fornecedor 7 - Embalagens,7,2026-07-26,2026-08-09
Loja 001,SKU-8002,Copo 400ml pct 50un,Descartavel,pct,266,71,Fornecedor 7 - Embalagens,7,2026-08-01,2026-08-15
Loja 001,SKU-8003,Sacola delivery pct 100un,Descartavel,pct,175,59,Fornecedor 7 - Embalagens,7,2026-07-28,2026-08-11
Loja 001,SKU-8004,Guardanapo pct 1000un,Descartavel,pct,68,34,Fornecedor 7 - Embalagens,7,2026-07-22,2026-08-05
Loja 002,SKU-1001,Hamburguer bovino 180g cx 24un,Proteina,cx,89,22,Fornecedor 1 - Industria de Carnes,3,2026-07-25,2026-08-01
Loja 002,SKU-1002,File de frango congelado 2kg,Proteina,pct,110,39,Fornecedor 1 - Industria de Carnes,3,2026-07-28,2026-08-04
Loja 002,SKU-1003,Bacon fatiado 1kg,Proteina,pct,86,21,Fornecedor 1 - Industria de Carnes,4,2026-07-28,2026-08-04
Loja 002,SKU-1004,Linguica toscana 3kg,Proteina,pct,39,16,Fornecedor 1 - Industria de Carnes,4,2026-07-26,2026-08-02
Loja 002,SKU-2001,Pao de hamburguer pct 12un,Padaria,pct,11,19,Fornecedor 2 - Panificadora,1,2026-07-31,2026-08-02
Loja 002,SKU-2002,Pao brioche pct 12un,Padaria,pct,30,8,Fornecedor 2 - Panificadora,1,2026-07-30,2026-08-01
Loja 002,SKU-3001,Queijo cheddar fatiado 1kg,Laticinio,pct,64,19,Fornecedor 3 - Laticinios,2,2026-07-26,2026-08-02
Loja 002,SKU-3002,Queijo mussarela 5kg,Laticinio,pct,17,13,Fornecedor 3 - Laticinios,2,2026-07-27,2026-08-03
Loja 002,SKU-3003,"Requeijao cremoso 1,5kg",Laticinio,pt,16,6,Fornecedor 3 - Laticinios,2,2026-07-25,2026-08-01
Loja 002,SKU-3004,Manteiga 500g,Laticinio,un,24,9,Fornecedor 3 - Laticinios,2,2026-07-29,2026-08-05
Loja 002,SKU-4001,"Batata pre-frita congelada 2,5kg",Congelado,pct,243,80,Fornecedor 4 - Distribuidora,5,2026-07-31,2026-08-14
Loja 002,SKU-4002,Anel de cebola congelado 1kg,Congelado,pct,47,14,Fornecedor 4 - Distribuidora,5,2026-07-25,2026-08-08
Loja 002,SKU-4003,Nuggets congelado 2kg,Congelado,pct,48,17,Fornecedor 4 - Distribuidora,5,2026-07-18,2026-08-01
Loja 002,SKU-5001,Oleo de soja 900ml cx 20un,Mercearia,cx,25,12,Fornecedor 4 - Distribuidora,5,2026-07-31,2026-08-14
Loja 002,SKU-5002,"Ketchup galao 3,2kg",Mercearia,gl,28,9,Fornecedor 4 - Distribuidora,5,2026-07-23,2026-08-06
Loja 002,SKU-5003,Maionese galao 3kg,Mercearia,gl,40,11,Fornecedor 4 - Distribuidora,5,2026-07-27,2026-08-10
Loja 002,SKU-5004,Mostarda galao 3kg,Mercearia,gl,17,5,Fornecedor 4 - Distribuidora,5,2026-07-27,2026-08-10
Loja 002,SKU-5005,Sal refinado 1kg,Mercearia,un,13,6,Fornecedor 4 - Distribuidora,5,2026-07-26,2026-08-09
