data_inicio,data_fim,loja,sku,item,dias_sem_produto,venda_perdida_estimada,causa_registrada
2026-05-10,2026-05-12,Loja 002,SKU-8003,Sacola delivery pct 100un,2,9.3,Pedido feito em cima da hora
2026-05-14,2026-05-15,Loja 003,SKU-6004,Picles fatiado 2kg,1,1.5,Pedido feito em cima da hora
2026-05-15,2026-05-16,Loja 002,SKU-6001,Alface americana un,1,16.8,Pico de venda no fim de semana
2026-05-17,2026-05-20,Loja 003,SKU-1001,Hamburguer bovino 180g cx 24un,3,29.2,Pedido feito em cima da hora
2026-05-18,2026-05-19,Loja 001,SKU-4001,"Batata pre-frita congelada 2,5kg",1,15.9,Fornecedor atrasou a entrega
2026-05-18,2026-05-20,Loja 003,SKU-5002,"Ketchup galao 3,2kg",2,3.5,Pedido abaixo do necessario
2026-05-21,2026-05-22,Loja 002,SKU-7002,Refrigerante 2L cx 6un,1,1.7,Pedido feito em cima da hora
2026-05-22,2026-05-25,Loja 002,SKU-6002,Tomate salada kg,3,19.4,Pico de venda no fim de semana
2026-05-23,2026-05-26,Loja 001,SKU-1004,Linguica toscana 3kg,3,7.7,Pico de venda no fim de semana
2026-05-24,2026-05-25,Loja 003,SKU-5003,Maionese galao 3kg,1,1.9,Erro de contagem no estoque
2026-05-28,2026-05-29,Loja 001,SKU-1002,File de frango congelado 2kg,1,10.3,Fornecedor atrasou a entrega
2026-05-29,2026-05-30,Loja 002,SKU-6001,Alface americana un,1,15.8,Pedido abaixo do necessario
2026-05-29,2026-05-30,Loja 002,SKU-8003,Sacola delivery pct 100un,1,2.5,Fornecedor atrasou a entrega
2026-06-01,2026-06-02,Loja 001,SKU-6002,Tomate salada kg,1,16.9,Erro de contagem no estoque
2026-06-01,2026-06-02,Loja 002,SKU-8001,Embalagem sanduiche pct 100un,1,4.3,Erro de contagem no estoque
2026-06-01,2026-06-05,Loja 001,SKU-8001,Embalagem sanduiche pct 100un,4,39.2,Pico de venda no fim de semana
2026-06-02,2026-06-03,Loja 001,SKU-5001,Oleo de soja 900ml cx 20un,1,2.1,Pedido abaixo do necessario
2026-06-02,2026-06-03,Loja 003,SKU-1001,Hamburguer bovino 180g cx 24un,1,5.2,Pedido feito em cima da hora
2026-06-04,2026-06-06,Loja 002,SKU-8004,Guardanapo pct 1000un,2,5.2,Pedido abaixo do necessario
2026-06-08,2026-06-10,Loja 001,SKU-5003,Maionese galao 3kg,2,4.1,Erro de contagem no estoque
2026-06-08,2026-06-11,Loja 002,SKU-4002,Anel de cebola congelado 1kg,3,6.6,Erro de contagem no estoque
2026-06-10,2026-06-16,Loja 003,SKU-5003,Maionese galao 3kg,6,11.8,Erro de contagem no estoque
2026-06-13,2026-06-15,Loja 001,SKU-7001,Refrigerante lata cx 24un,2,10.3,Fornecedor atrasou a entrega
2026-06-18,2026-06-20,Loja 001,SKU-5003,Maionese galao 3kg,2,4.6,Pedido feito em cima da hora
2026-06-24,2026-06-28,Loja 003,SKU-6002,Tomate salada kg,4,70.1,Pedido abaixo do necessario
2026-06-27,2026-06-29,Loja 003,SKU-5003,Maionese galao 3kg,2,3.1,Pico de venda no fim de semana
2026-06-29,2026-06-30,Loja 001,SKU-2002,Pao brioche pct 12un,1,5.3,Pedido abaixo do necessario
2026-06-30,2026-07-03,Loja 002,SKU-5002,"Ketchup galao 3,2kg",3,2.1,Pedido abaixo do necessario
2026-07-02,2026-07-03,Loja 001,SKU-6001,Alface americana un,1,13.9,Erro de contagem no estoque
2026-07-02,2026-07-03,Loja 003,SKU-6001,Alface americana un,1,16.8,Pedido abaixo do necessario
2026-07-02,2026-07-04,Loja 002,SKU-5003,Maionese galao 3kg,2,3.5,Pico de venda no fim de semana
2026-07-03,2026-07-05,Loja 003,SKU-3002,Queijo mussarela 5kg,2,16.8,Erro de contagem no estoque
2026-07-05,2026-07-07,Loja 002,SKU-1003,Bacon fatiado 1kg,2,5.1,Erro de contagem no estoque
2026-07-07,2026-07-09,Loja 001,SKU-4002,Anel de cebola congelado 1kg,2,5.3,Fornecedor atrasou a entrega
2026-07-09,2026-07-13,Loja 002,SKU-1004,Linguica toscana 3kg,4,12.5,Pedido feito em cima da hora
2026-07-09,2026-07-13,Loja 002,SKU-4001,"Batata pre-frita congelada 2,5kg",4,35.2,Pico de venda no fim de semana
2026-07-10,2026-07-11,Loja 001,SKU-4003,Nuggets congelado 2kg,1,3.8,Pico de venda no fim de semana
2026-07-12,2026-07-13,Loja 001,SKU-4002,Anel de cebola congelado 1kg,1,2.7,Erro de contagem no estoque
2026-07-15,2026-07-16,Loja 002,SKU-3003,"Requeijao cremoso 1,5kg",1,1.1,Erro de contagem no estoque
2026-07-15,2026-07-16,Loja 002,SKU-8003,Sacola delivery pct 100un,1,3.7,Pedido feito em cima da hora
2026-07-18,2026-07-21,Loja 003,SKU-7004,Agua mineral 500ml cx 12un,3,10.0,Fornecedor atrasou a entrega
2026-07-20,2026-07-26,Loja 001,SKU-1002,File de frango congelado 2kg,6,77.4,Pedido abaixo do necessario
2026-07-24,2026-07-25,Loja 001,SKU-3003,"Requeijao cremoso 1,5kg",1,2.7,Fornecedor atrasou a entrega
2026-07-24,2026-07-26,Loja 002,SKU-8003,Sacola delivery pct 100un,2,9.3,Fornecedor atrasou a entrega
2026-07-24,2026-07-27,Loja 002,SKU-3001,Queijo cheddar fatiado 1kg,3,14.1,Pedido feito em cima da hora
2026-07-27,2026-07-29,Loja 001,SKU-7002,Refrigerante 2L cx 6un,2,7.2,Pedido abaixo do necessario
