data,loja,sku,item,unidade_medida,quantidade_vendida
2026-05-03,Loja 001,SKU-1001,Hamburguer bovino 180g cx 24un,cx,7
2026-05-03,Loja 001,SKU-1002,File de frango congelado 2kg,pct,16
2026-05-03,Loja 001,SKU-1003,Bacon fatiado 1kg,pct,6
2026-05-03,Loja 001,SKU-1004,Linguica toscana 3kg,pct,6
2026-05-03,Loja 001,SKU-2001,Pao de hamburguer pct 12un,pct,24
2026-05-03,Loja 001,SKU-2002,Pao brioche pct 12un,pct,6
2026-05-03,Loja 001,SKU-3001,Queijo cheddar fatiado 1kg,pct,14
2026-05-03,Loja 001,SKU-3002,Queijo mussarela 5kg,pct,8
2026-05-03,Loja 001,SKU-3003,"Requeijao cremoso 1,5kg",pt,5
2026-05-03,Loja 001,SKU-3004,Manteiga 500g,un,7
2026-05-03,Loja 001,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,17
2026-05-03,Loja 001,SKU-4002,Anel de cebola congelado 1kg,pct,4
2026-05-03,Loja 001,SKU-4003,Nuggets congelado 2kg,pct,5
2026-05-03,Loja 001,SKU-5001,Oleo de soja 900ml cx 20un,cx,3
2026-05-03,Loja 001,SKU-5002,"Ketchup galao 3,2kg",gl,2
2026-05-03,Loja 001,SKU-5003,Maionese galao 3kg,gl,3
2026-05-03,Loja 001,SKU-5004,Mostarda galao 3kg,gl,1
2026-05-03,Loja 001,SKU-5005,Sal refinado 1kg,un,1
2026-05-03,Loja 001,SKU-6001,Alface americana un,un,33
2026-05-03,Loja 001,SKU-6002,Tomate salada kg,kg,18.0
2026-05-03,Loja 001,SKU-6003,Cebola kg,kg,15.1
2026-05-03,Loja 001,SKU-6004,Picles fatiado 2kg,pt,2
2026-05-03,Loja 001,SKU-7001,Refrigerante lata cx 24un,cx,11
2026-05-03,Loja 001,SKU-7002,Refrigerante 2L cx 6un,cx,4
2026-05-03,Loja 001,SKU-7003,Suco caixinha cx 12un,cx,4
2026-05-03,Loja 001,SKU-7004,Agua mineral 500ml cx 12un,cx,6
2026-05-03,Loja 001,SKU-8001,Embalagem sanduiche pct 100un,pct,12
2026-05-03,Loja 001,SKU-8002,Copo 400ml pct 50un,pct,10
2026-05-03,Loja 001,SKU-8003,Sacola delivery pct 100un,pct,8
2026-05-03,Loja 001,SKU-8004,Guardanapo pct 1000un,pct,4
2026-05-03,Loja 002,SKU-1001,Hamburguer bovino 180g cx 24un,cx,8
2026-05-03,Loja 002,SKU-1002,File de frango congelado 2kg,pct,12
2026-05-03,Loja 002,SKU-1003,Bacon fatiado 1kg,pct,5
2026-05-03,Loja 002,SKU-1004,Linguica toscana 3kg,pct,3
2026-05-03,Loja 002,SKU-2001,Pao de hamburguer pct 12un,pct,20
2026-05-03,Loja 002,SKU-2002,Pao brioche pct 12un,pct,7
2026-05-03,Loja 002,SKU-3001,Queijo cheddar fatiado 1kg,pct,9
2026-05-03,Loja 002,SKU-3002,Queijo mussarela 5kg,pct,5
2026-05-03,Loja 002,SKU-3003,"Requeijao cremoso 1,5kg",pt,3
2026-05-03,Loja 002,SKU-3004,Manteiga 500g,un,4
2026-05-03,Loja 002,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,17
2026-05-03,Loja 002,SKU-4002,Anel de cebola congelado 1kg,pct,2
2026-05-03,Loja 002,SKU-4003,Nuggets congelado 2kg,pct,3
2026-05-03,Loja 002,SKU-5001,Oleo de soja 900ml cx 20un,cx,2
2026-05-03,Loja 002,SKU-5002,"Ketchup galao 3,2kg",gl,2
2026-05-03,Loja 002,SKU-5003,Maionese galao 3kg,gl,2
2026-05-03,Loja 002,SKU-5004,Mostarda galao 3kg,gl,1
2026-05-03,Loja 002,SKU-5005,Sal refinado 1kg,un,1
2026-05-03,Loja 002,SKU-6001,Alface americana un,un,16
2026-05-03,Loja 002,SKU-6002,Tomate salada kg,kg,20.9
2026-05-03,Loja 002,SKU-6003,Cebola kg,kg,10.0
2026-05-03,Loja 002,SKU-6004,Picles fatiado 2kg,pt,2
2026-05-03,Loja 002,SKU-7001,Refrigerante lata cx 24un,cx,9
2026-05-03,Loja 002,SKU-7002,Refrigerante 2L cx 6un,cx,3
2026-05-03,Loja 002,SKU-7003,Suco caixinha cx 12un,cx,3
2026-05-03,Loja 002,SKU-7004,Agua mineral 500ml cx 12un,cx,5
2026-05-03,Loja 002,SKU-8001,Embalagem sanduiche pct 100un,pct,8
2026-05-03,Loja 002,SKU-8002,Copo 400ml pct 50un,pct,8
2026-05-03,Loja 002,SKU-8003,Sacola delivery pct 100un,pct,6
2026-05-03,Loja 002,SKU-8004,Guardanapo pct 1000un,pct,4
2026-05-03,Loja 003,SKU-1001,Hamburguer bovino 180g cx 24un,cx,12
2026-05-03,Loja 003,SKU-1002,File de frango congelado 2kg,pct,21
2026-05-03,Loja 003,SKU-1003,Bacon fatiado 1kg,pct,10
2026-05-03,Loja 003,SKU-1004,Linguica toscana 3kg,pct,8
2026-05-03,Loja 003,SKU-2001,Pao de hamburguer pct 12un,pct,34
2026-05-03,Loja 003,SKU-2002,Pao brioche pct 12un,pct,11
2026-05-03,Loja 003,SKU-3001,Queijo cheddar fatiado 1kg,pct,14
2026-05-03,Loja 003,SKU-3002,Queijo mussarela 5kg,pct,10
2026-05-03,Loja 003,SKU-3003,"Requeijao cremoso 1,5kg",pt,5
2026-05-03,Loja 003,SKU-3004,Manteiga 500g,un,7
2026-05-03,Loja 003,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,28
2026-05-03,Loja 003,SKU-4002,Anel de cebola congelado 1kg,pct,5
2026-05-03,Loja 003,SKU-4003,Nuggets congelado 2kg,pct,5
2026-05-03,Loja 003,SKU-5001,Oleo de soja 900ml cx 20un,cx,3
2026-05-03,Loja 003,SKU-5002,"Ketchup galao 3,2kg",gl,3
2026-05-03,Loja 003,SKU-5003,Maionese galao 3kg,gl,4
2026-05-03,Loja 003,SKU-5004,Mostarda galao 3kg,gl,2
2026-05-03,Loja 003,SKU-5005,Sal refinado 1kg,un,2
2026-05-03,Loja 003,SKU-6001,Alface americana un,un,25
2026-05-03,Loja 003,SKU-6002,Tomate salada kg,kg,38.9
2026-05-03,Loja 003,SKU-6003,Cebola kg,kg,11.0
2026-05-03,Loja 003,SKU-6004,Picles fatiado 2kg,pt,2
2026-05-03,Loja 003,SKU-7001,Refrigerante lata cx 24un,cx,11
2026-05-03,Loja 003,SKU-7002,Refrigerante 2L cx 6un,cx,7
2026-05-03,Loja 003,SKU-7003,Suco caixinha cx 12un,cx,4
2026-05-03,Loja 003,SKU-7004,Agua mineral 500ml cx 12un,cx,7
2026-05-03,Loja 003,SKU-8001,Embalagem sanduiche pct 100un,pct,18
2026-05-03,Loja 003,SKU-8002,Copo 400ml pct 50un,pct,13
2026-05-03,Loja 003,SKU-8003,Sacola delivery pct 100un,pct,12
2026-05-03,Loja 003,SKU-8004,Guardanapo pct 1000un,pct,7
2026-05-04,Loja 001,SKU-1001,Hamburguer bovino 180g cx 24un,cx,6
2026-05-04,Loja 001,SKU-1002,File de frango congelado 2kg,pct,12
2026-05-04,Loja 001,SKU-1003,Bacon fatiado 1kg,pct,4
2026-05-04,Loja 001,SKU-1004,Linguica toscana 3kg,pct,4
2026-05-04,Loja 001,SKU-2001,Pao de hamburguer pct 12un,pct,12
2026-05-04,Loja 001,SKU-2002,Pao brioche pct 12un,pct,7
2026-05-04,Loja 001,SKU-3001,Queijo cheddar fatiado 1kg,pct,8
2026-05-04,Loja 001,SKU-3002,Queijo mussarela 5kg,pct,7
2026-05-04,Loja 001,SKU-3003,"Requeijao cremoso 1,5kg",pt,3
2026-05-04,Loja 001,SKU-3004,Manteiga 500g,un,4
2026-05-04,Loja 001,SKU-4001,"Batata pre-frita congelada 2,5kg",pct,14
2026-05-04,Loja 001,SKU-4002,Anel de cebola congelado 1kg,pct,3
2026-05-04,Loja 001,SKU-4003,Nuggets congelado 2kg,pct,3
2026-05-04,Loja 001,SKU-5001,Oleo de soja 900ml cx 20un,cx,3
2026-05-04,Loja 001,SKU-5002,"Ketchup galao 3,2kg",gl,2
2026-05-04,Loja 001,SKU-5003,Maionese galao 3kg,gl,2
2026-05-04,Loja 001,SKU-5004,Mostarda galao 3kg,gl,1
2026-05-04,Loja 001,SKU-5005,Sal refinado 1kg,un,1
2026-05-04,Loja 001,SKU-6001,Alface americana un,un,20
2026-05-04,Loja 001,SKU-6002,Tomate salada kg,kg,15.0
2026-05-04,Loja 001,SKU-6003,Cebola kg,kg,12.2
2026-05-04,Loja 001,SKU-6004,Picles fatiado 2kg,pt,1
2026-05-04,Loja 001,SKU-7001,Refrigerante lata cx 24un,cx,9
2026-05-04,Loja 001,SKU-7002,Refrigerante 2L cx 6un,cx,3
